English,Japanese,Chapter
abacus,frame with balls used for calculating,a
abate,"to lessen, subside",a
abdication,formal relinquishing of power or authority; resignation,a
aberration,straying away from what is natural or normal; deviation,a
abet,"to help, encourage someone in wrongdoing",a
abeyance,suspended action; temporary inactivity,a
abhor,"to hate, detest",a
abide,to be faithful; to endure,a
abjure,to promise or swear to give up,a
abraded,"rubbed off, worn away by friction",a
abrogate,to repeal or annul by authority,a
abscond,to go away suddenly (to avoid arrest),a
abstruse,difficult to comprehend; obscure,a
abut,to border on,a
abysmal,"bottomless; profoundly, extremely bad",a
acarpous,effete; worn out; sterile; no longer fertile,a
acclaimed,welcomed with shouts and approval,a
accolade,"praise, approval",a
accretion,the growing of separate things into one; an addition,a
adamant,kind of stone; inflexible,a
admonitory,containing a warning; tending to admonish,a
adorn,add beauty to; decorate,a
adulteration,making impure or poorer in quality,a
affable,polite and friendly,a
affinity,a natural liking for something; an inherent similarity,a
aggravate,to make worse; to irritate,a
agile,"active, quick-moving, well-coordinated",a
agog,eager/excited,a
ail,to cause pain or trouble to; to be ill,a
alacrity,eager and cheerful readiness,a
alcove,recessed part of a room; partially enclosed space,a
allegiance,"duty, support, loyalty",a
alleviate,to make (pain) easier to bear,a
alloy,to debase by mixing with something inferior; a mixture of two or more metals,a
aloof,"reserved, seemingly indifferent",a
amalgamate,"mix, combine, unite",a
ambidextrous,able to use the left hand and the right equally well,a
ambiguous,"doubtful, uncertain; having several possible meanings or explanations",a
ambivalent,having both of two contrary desires; uncertain; unable to make a decision,a
ameliorate,"to improve, make better",a
amortize,to end (a debt) by making periodic payments,a
anguish,severe suffering,a
animosity,strong dislike,a
antidote,medicine used against a poison or a disease,a
antithetical,directly opposed; opposite,a
apartheid,brutal racial discrimination,a
aplomb,self-confidence,a
apostate,one who abandons long-held religious or political convictions,a
apotheosis,"deification, glorification of a person to the rank of a God; the highest point of something",a
appease,"to make quiet or calm; to soothe, pacify",a
apprehensive,anxious or nervous about future happenings; perceptive,a
apprise,to give notice; to inform,a
approbation,approval,a
apropos,"appropriate to the situation, apt, pertinent",a
apt,well-suited;appropriate; able to learn quickly,a
arabesque,"a complex, ornate design; a ballet pose; a short musical piece",a
arboreal,of or having to do with trees,a
ardor,enthusiasm; passion; great warmth,a
arduous,requiring much exertion; laborious; difficult to climb,a
argot,jargon slang,a
arrogance,proud superior manner of behaviour,a
articulate,speak distinctly connect by joints,a
ascend,go or come up,a
ascertain,get to know,a
ascetic,practicing self-denial austere stark,a
ascribe,consider to be the origin of or belonging to,a
aseptic,surgically clean,a
asperity,roughness harshness ill temper irritability,a
aspersion,slander,a
assail,with attack violently,a
assiduous,diligent hard-working sedulous,a
assuage,make smth (pain desire) less,a
asterisk,the mark * (e.g.. omitted letters),a
astringent,substance that shrinks,a
astute,clever quick at seeing to get an advantage,a
atonement,repayment death of Jesus,a
attenuate,make thin. weaken enervate,a
attune,bring into harmony,a
audacious,daring foolishly bold impudent,a
augury,omen sign,a
august,majestic venerable,a
auspicious,favorable successful prosperous,a
austere,severely moral and strict simple and plain,a
auxiliary,helping supporting,a
aver,affirm assert prove justify,a
aversion,strong dislike,a
avid,eager greedy,a
avow,admit. Declare openly,a
baleful,harmful ominous causing evil,b
balk,obstacle purposely to get on the way of,b
baneful,causing harm or ruin pernicious destructive,b
barrage,artificial obstacle built across a river,b
barren,not good enough unable to have young ones without value,b
bask,in enjoy warmth and light,b
beatify,to bless make happy or ascribe a virtue to,b
bedizen,to adorn especially in a cheap showy manner,b
belabor,beat hard,b
bellicose,belligerent pugnacious warlike,b
belligerent,(person nation) waging war,b
benefactor,person who has given help,b
benevolence,wish or activity in doing good,b
benign,kind and gentle mild (climate),b
bequest,arrangement to give smth at death,b
berate,scold sharply,b
bereft,rob or dispossess of smth (material),b
bewilder,puzzle confuse,b
bigot,stubborn narrow-minded person,b
bilge,bulge the protuberance of a cask,b
blandishment,flattery coaxing,b
blandness,polite manner comforting uninteresting,b
blatant,noisy and rough,b
blithe,cheerful casual carefree,b
bogus,sham counterfeit not genuine,b
boisterous,loud noisy rough lacking restraint,b
bolster,give greatly needed support,b
boorish,crude offensive rude,b
brash,hasty rush cheeky saucy,b
brass,yellow metal (mixing copper and zinc),b
brazen,made of brass,b
breach,opening broken place breaking,b
brittle,easily broken,b
broach,bring up announce begin to talk about,b
brook,to tolerate endure,b
buoyant,able to float light-hearted,b
burgeon,grow forth send out buds,b
burnish,to polish rub to a shine,b
cabal,a scheme or plot a group of plotters,c
cadge,to beg to get by begging,c
cajole,use flattery or deceit to persuade,c
calipers,metal supports attached to the legs measuring instrument,c
calumny,slander aspersion,c
candid,frank straight-forward,c
cant,insincere talk/jargon,c
cantankerous,bad-tempered/quarrelsome,c
canvass,discuss thoroughly sort of touting,c
castigate,to chastise correct by punishing,c
castigation,severe punishment,c
catalyst,substance that causes speeding up,c
caustic,biting sarcastic,c
censure,expression of blame or disapproval a rebuke,c
centurion,leader of a unit of 100 soldiers,c
chary,cautious wary,c
chastened,corrected punished,c
chastisement,punishment,c
chauvinist,a blindly devoted patriot,c
chicanery,legal trickery/false argument,c
chisel,steel tool for shaping materials,c
churl,bad-tempered person,c
clamor,shout complain with a lot of noise,c
clientele,customers,c
clinch,come to grips/settle conclusively,c
cling,to resist separation,c
clot,half-solid lump formed from liquid,c
cloture,closing device (in Parliament) to end a debate by voting,c
coagulation,change to a thick and solid state,c
coalescing,coming together and uniting into one substance,c
coax,get smb to do smth by kindness,c
coda,passage that completes a piece of music,c
coddle,treat with care and tenderness,c
coerce,compel to force to make obedient,c
coeval,of the same period coexisting,c
cogent,strong convincing,c
cogitate,think deeply mediate,c
cognizant,being fully aware of,c
colander,bowl-shaped vessel with many holes used to drain off water,c
collusion,secret agreement for a deceitful purpose,c
combustion,process of burning,c
commemorate,keep the memory of,c
commodious,having plenty of space for what is needed,c
commuter,person who travels regularly,c
complaisance,tending to comply obliging willingness to please,c
compunction,feeling of regret for one’s action,c
conceal,hide keep secret,c
conceit,over-high opinion of too much pride,c
conciliatory,reconciling soothing comforting mollifying,c
concord,agreement or harmony,c
concur,agree in opinion happen together,c
condense,increase in density strength make laconic,c
condone,forgive,c
congeal,make or become stiff and solid,c
conjoin,to join together,c
connoisseur,a person with good judgement (e.g.. in art),c
connotation,suggestion in addition to,c
consequential,pompous self important,c
console,give comfort or sympathy to,c
conspicuous,easily seen remarkable,c
consternation,surprise and fear dismay,c
constrain,compel,c
constrict,make tight or smaller,c
consume,get to the end of,c
consummate,perfect/make perfect/complete,c
contemn,to scorn or despise,c
contentious,argumentative pugnacious combative quarrelsome,c
contiguous,touching neighboring near,c
contrite,filled with deep sorrow for wrongdoing,c
contumacious,insubordinate rebellious,c
conundrum,a riddle dilemma enigma,c
conviction,convincing firm belief,c
convoke,call together summon,c
convoluted,complicated coiled twisted,c
