English,Chapter,Japanese
abundant,adj,present in large quantities 
accumulate,v,to gradually collect 
accurate,adj,correct; free from errors 
accustomed,adj,used to something 
acquire,v,to come into possession of 
adamant,adj,refusing to change an opinion 
adequate,adj,enough to suit your needs 
adjacent,adj,close to or next to 
adjust,v,to change something so it serves its purpose better 
advantage,n,something that makes it easier to achieve success 
advocate,v,to publicly support 
adverse,adj,unfavorable; against one's desires 
aggregate,v,to combine 
aggressive,adj,assertive and pushy 
allocate,v,to put aside for a specific purpose 
alternative,n,another option or choice 
amateur,n,someone who is inexperienced or not highly skilled in a particular area
ambiguous,adj,having several potential meanings; unclear and difficult to understand 
ambitious,adj,having large goals 
amend,v,to change for the better; to improve 
ample,adj,plentiful 
anomaly,n,deviation from the norm 
annual,adj,occurring yearly 
antagonize,v,to tease or be hostile towards a person or group 
attitude,n,manner or feeling 
attribute,v,to give credit 
arbitrary,adj,based on a whim or random desire 
arduous,adj,requiring a lot of effort 
assuage,v,to lessen a negative feeling 
assume,v,to suppose without solid proof 
augment,v,to increase or make larger  
benefit,n,something positive or advantageous 
berate,v,to scold 
bestow,v,to give as a gift 
boast,v,to brag or talk with excessive pride 
boost,v,to help raise or increase something
brash,adj,rude and tactless 
brief,adj,short (in terms of time) 
brusque,adj,abrupt to the point of rudeness 
cacophony,n,"a harsh, unpleasant mixture of noise "
cease,v,to stop  
censure,v,to express strong disapproval 
chronological,adj,arranged in order of time or date 
clarify,v,to make clear; to remove confusion 
coalesce,v,to combine or grow together 
coerce,v,to force someone to do something against their will 
cognizant,adj,being aware or having knowledge of something  
cohesion,n,uniting; becoming one 
coincide,v,to occur at the same time 
collapse,v,to fall down or break down 
collide,v,to hit one another with a forceful impact 
commitment,n,dedication to a cause or activity 
community,n,a group of people who live or work together 
conceal,v,to hide 
concur,v,to agree 
conflict,n,a disagreement or fight 
constrain,v,to restrict or repress 
contemplate,v,to consider thoughtfully 
continuously,v,to go on without stopping 
contradict,v,to give the opposite opinion 
contribute,v,to give something (usually money or time) to a common fund or cause 
convey,v,to make known 
copious,adj,abundant 
core,adj,central; of main importance 
corrode,v,to gradually wear away 
cumbersome,adj,burdensome; clumsy 
curriculum,n,the courses given by a school or program 
data,n,"facts, statistics, or pieces of information "
decay,v,to decline in health or excellence 
deceive,v,to trick or mislead 
decipher,v,to find the meaning of 
declaration,n,an announcement 
decline,v,to politely refuse 
degrade,v,to lower in quality 
demonstrate,v,to show 
deny,v,to state that something isn't true 
deplete,v,to significantly decrease 
deposit,v,to deliver and leave an item 
desirable,adj,worth having or wanting 
despise,v,to hate 
detect,v,to locate something 
deter,v,to discourage 
deviate,v,to differ from the norm 
devise,v,to plan or create 
diatribe,n,a sharp criticism or attack 
digress,v,to wander from the main subject 
dilemma,n,a situation where one must choose between two difficult choices 
diminish,v,to shrink or reduce 
dispose,v,to get rid of  
disproportionate,adj,too small or large when compared to something else 
disrupt,v,to interrupt by causing a disturbance 
distort,v,to misrepresent 
distribute,v,to give portions of something 
diverse,adj,showing a lot of variety 
divert,v,to cause a change of course 
dynamic,adj,constantly changing 
ease,v,to reduce unpleasantness or difficulty 
efficient,adj,maximizing productivity 
eliminate,v,to remove 
elite,adj,"a select, above-average group  "
eloquent,adj,moving speech or writing 
